pos_rank,file,time
1,1834.txt,0 days 00:00:00.631745000
9,2224.txt,0 days 00:00:00.473758000
1,2036.txt,0 days 00:00:00.557292000
1,1927.txt,0 days 00:00:00.473247000
2,1873.txt,0 days 00:00:00.595625000
1,1883.txt,0 days 00:00:00.546879000
12,1634.txt,0 days 00:00:00.416657000
1,1941.txt,0 days 00:00:00.273156000
1,1591.txt,0 days 00:00:00.448556000
-1,1972.txt,0 days 00:00:00.573136000
1,1625.txt,0 days 00:00:00.201587000
1,1758.txt,0 days 00:00:00.316187000
1,1670.txt,0 days 00:00:00.314269000
1,1839.txt,0 days 00:00:00.556505000
1,1624.txt,0 days 00:00:00.425055000
1,1603.txt,0 days 00:00:00.580190000
1,1600.txt,0 days 00:00:00.344672000
1,1963.txt,0 days 00:00:00.513328000
1,1986.txt,0 days 00:00:00.439812000
1,1654.txt,0 days 00:00:00.333640000
162,2250.txt,0 days 00:00:00.377627000
1,1791.txt,0 days 00:00:00.337039000
1,1592.txt,0 days 00:00:00.351397000
1,2093.txt,0 days 00:00:00.393300000
1,1831.txt,0 days 00:00:00.501057000
1,1531.txt,0 days 00:00:00.464608000
1,2226.txt,0 days 00:00:00.486913000
297,2041.txt,0 days 00:00:00.318950000
1,1966.txt,0 days 00:00:00.415413000
1,1595.txt,0 days 00:00:00.326009000
1,1717.txt,0 days 00:00:00.616308000
1,2076.txt,0 days 00:00:00.832794000
6,1580.txt,0 days 00:00:00.269774000
1,1551.txt,0 days 00:00:00.643892000
1,1866.txt,0 days 00:00:00.550007000
1,2035.txt,0 days 00:00:00.386248000
1,1840.txt,0 days 00:00:00.514577000
1,1785.txt,0 days 00:00:00.148340000
1,2157.txt,0 days 00:00:00.626140000
1,2082.txt,0 days 00:00:00.363193000
1,1843.txt,0 days 00:00:00.204337000
114,2045.txt,0 days 00:00:00.207479000
1,1988.txt,0 days 00:00:00.470609000
430,1611.txt,0 days 00:00:00.657043000
1,2207.txt,0 days 00:00:00.359761000
1,1506.txt,0 days 00:00:00.172870000
1,1890.txt,0 days 00:00:00.436563000
1,1513.txt,0 days 00:00:00.524638000
1,2186.txt,0 days 00:00:00.456199000
1,1867.txt,0 days 00:00:00.351153000
243,1709.txt,0 days 00:00:00.271855000
119,1575.txt,0 days 00:00:00.185745000
1,2154.txt,0 days 00:00:00.712302000
1,2055.txt,0 days 00:00:00.242716000
1,1837.txt,0 days 00:00:00.664719000
1,1701.txt,0 days 00:00:00.469502000
1,1797.txt,0 days 00:00:00.279384000
1,1584.txt,0 days 00:00:00.390142000
1,2115.txt,0 days 00:00:00.394284000
1,1946.txt,0 days 00:00:00.401914000
1,2156.txt,0 days 00:00:00.534262000
1,1833.txt,0 days 00:00:00.544537000
236,1536.txt,0 days 00:00:00.532307000
204,1968.txt,0 days 00:00:00.533560000
2,1535.txt,0 days 00:00:00.298160000
-1,1692.txt,0 days 00:00:00.511743000
305,1619.txt,0 days 00:00:00.520032000
1,1796.txt,0 days 00:00:00.410248000
1,2131.txt,0 days 00:00:00.477950000
1,1637.txt,0 days 00:00:00.335530000
1,1504.txt,0 days 00:00:00.459806000
1,1583.txt,0 days 00:00:00.472225000
34,1755.txt,0 days 00:00:00.372128000
1,1628.txt,0 days 00:00:00.360148000
-1,1708.txt,0 days 00:00:00.261365000
2,1711.txt,0 days 00:00:00.655017000
1,1590.txt,0 days 00:00:00.146441000
7,2195.txt,0 days 00:00:00.201315000
240,1700.txt,0 days 00:00:00.347206000
-1,1762.txt,0 days 00:00:00.558666000
-1,2043.txt,0 days 00:00:00.421353000
1,2021.txt,0 days 00:00:00.646795000
263,2080.txt,0 days 00:00:00.523406000
58,2230.txt,0 days 00:00:00.436892000
37,2075.txt,0 days 00:00:00.461911000
1,1932.txt,0 days 00:00:00.615517000
225,1514.txt,0 days 00:00:00.430949000
1,1714.txt,0 days 00:00:00.413498000
154,2089.txt,0 days 00:00:00.365403000
1,1977.txt,0 days 00:00:00.427746000
1,2048.txt,0 days 00:00:00.270894000
284,1695.txt,0 days 00:00:00.418142000
1,1752.txt,0 days 00:00:00.465667000
125,1616.txt,0 days 00:00:00.627134000
1,2085.txt,0 days 00:00:00.303342000
6,1872.txt,0 days 00:00:00.595257000
1,2210.txt,0 days 00:00:00.323723000
107,1606.txt,0 days 00:00:00.349004000
1,1832.txt,0 days 00:00:00.576842000
212,1697.txt,0 days 00:00:00.390638000
1,2208.txt,0 days 00:00:00.317477000
1,2116.txt,0 days 00:00:00.381216000
3,1849.txt,0 days 00:00:00.218411000
-1,1807.txt,0 days 00:00:00.162651000
2,2077.txt,0 days 00:00:00.759696000
-1,1635.txt,0 days 00:00:00.208035000
1,1937.txt,0 days 00:00:00.642217000
228,2042.txt,0 days 00:00:00.326828000
1,2032.txt,0 days 00:00:00.554970000
1,1861.txt,0 days 00:00:00.434494000
7,2050.txt,0 days 00:00:00.129916000
1,1876.txt,0 days 00:00:00.665216000
1,2159.txt,0 days 00:00:00.516911000
15,1865.txt,0 days 00:00:00.339257000
1,2182.txt,0 days 00:00:00.354501000
-1,2047.txt,0 days 00:00:00.232248000
4,1809.txt,0 days 00:00:00.210439000
23,2247.txt,0 days 00:00:00.516066000
6,1870.txt,0 days 00:00:00.494585000
1,1971.txt,0 days 00:00:00.593079000
1,1699.txt,0 days 00:00:00.475542000
1,1922.txt,0 days 00:00:00.376267000
23,2167.txt,0 days 00:00:00.157969000
337,1720.txt,0 days 00:00:00.507038000
48,1802.txt,0 days 00:00:00.240803000
1,1888.txt,0 days 00:00:00.457563000
